filename,labels_gt,labels,pass,score
COCO_val2014_000000313428.jpg,bed,bed|vase,0,0.975
COCO_val2014_000000443688.jpg,cake|dining table|knife|laptop|person|tv,cake|chair|dining table|knife|person|tv,0,0.9503164556962025
COCO_val2014_000000208778.jpg,bed|book|cup|person,bed|person,0,0.9503164556962025
COCO_val2014_000000215608.jpg,chair|handbag|person|umbrella,person|umbrella,0,0.9503164556962025
COCO_val2014_000000262522.jpg,clock,clock,1,1.0
COCO_val2014_000000267200.jpg,person|skateboard,bench|person|skateboard,0,0.975
COCO_val2014_000000117079.jpg,fire hydrant,fire hydrant,1,1.0
COCO_val2014_000000213538.jpg,book|bottle|chair|keyboard|mouse|remote|tv,book|chair|keyboard|mouse|tv,0,0.9503164556962025
COCO_val2014_000000344364.jpg,person|sports ball|tennis racket,person|sports ball|tennis racket,1,1.0
COCO_val2014_000000223032.jpg,dog|frisbee,dog|frisbee,1,1.0
COCO_val2014_000000479858.jpg,bowl|cup|dining table|sandwich,cup|dining table|sandwich,0,0.975
COCO_val2014_000000024480.jpg,cow,cow,1,1.0
COCO_val2014_000000039858.jpg,person|surfboard,person|surfboard,1,1.0
COCO_val2014_000000457575.jpg,dog|frisbee|person,dog|person,0,0.975
COCO_val2014_000000413044.jpg,bench|bowl|car|cup|donut|handbag|person,bench|cake|car|cup|dining table|donut|person,0,0.9018987341772152
COCO_val2014_000000103757.jpg,cat|potted plant|toilet,cat|toilet,0,0.975
COCO_val2014_000000243034.jpg,clock|person,clock|person,1,1.0
COCO_val2014_000000375415.jpg,apple|banana|orange,apple|banana|bowl|orange,0,0.975
COCO_val2014_000000483234.jpg,person|skis|snowboard,person|skis|snowboard,1,1.0
COCO_val2014_000000192007.jpg,baseball bat|baseball glove|person,baseball bat|baseball glove|person,1,1.0
COCO_val2014_000000407083.jpg,car|dog|person,car|dog|person,1,1.0
COCO_val2014_000000262686.jpg,banana|car|chair|person|umbrella,banana|car|chair|person|umbrella,1,1.0
COCO_val2014_000000248089.jpg,person|remote|tv,person|remote|tv,1,1.0
COCO_val2014_000000251242.jpg,cake|cup|dining table|fork|person,cake|dining table|person,0,0.9503164556962025
COCO_val2014_000000478798.jpg,laptop|person,book|person,0,0.9503164556962025
COCO_val2014_000000349525.jpg,chair|couch|handbag|microwave|person,bottle|chair|handbag|person,0,0.9259493670886076
COCO_val2014_000000547293.jpg,airplane|car|person|truck,airplane|car|truck,0,0.975
COCO_val2014_000000560662.jpg,person|sports ball|tie,bench|person|sports ball,0,0.9503164556962025
COCO_val2014_000000386821.jpg,baseball bat|baseball glove|bench|cell phone|person,baseball bat|baseball glove|bench|person,0,0.975
COCO_val2014_000000368196.jpg,apple|bowl|orange,apple|dining table|orange,0,0.9503164556962025
COCO_val2014_000000500699.jpg,bottle|cup|fork|knife|spoon,bottle|cup|dining table|fork|knife|spoon,0,0.975
COCO_val2014_000000229747.jpg,airplane,airplane,1,1.0
COCO_val2014_000000398174.jpg,bench|cell phone|person,backpack|bench|cell phone|handbag|person,0,0.9503164556962025
COCO_val2014_000000138119.jpg,bench|elephant|person,elephant|person,0,0.975
COCO_val2014_000000463132.jpg,chair|dining table|keyboard|mouse|potted plant|scissors|tv,chair|dining table|keyboard|mouse|potted plant|tv,0,0.975
COCO_val2014_000000508582.jpg,pizza,pizza,1,1.0
COCO_val2014_000000404820.jpg,person|surfboard,person|surfboard,1,1.0
COCO_val2014_000000533942.jpg,chair|tv,,0,0.9503164556962025
COCO_val2014_000000155571.jpg,elephant,elephant,1,1.0
COCO_val2014_000000065443.jpg,bed|dog|teddy bear,bed|dog|teddy bear,1,1.0
COCO_val2014_000000212927.jpg,bed|book|laptop|person,bed|laptop|person,0,0.975
COCO_val2014_000000347753.jpg,sink|toilet,sink|toilet,1,1.0
COCO_val2014_000000370980.jpg,bed|person,bed|person,1,1.0
COCO_val2014_000000456521.jpg,bench|person|skateboard,person|skateboard,0,0.975
COCO_val2014_000000529568.jpg,book|bowl|cup|dining table|oven|potted plant|sink|vase|wine glass,book|bottle|bowl|oven|potted plant|sink|vase,0,0.9018987341772152
COCO_val2014_000000407570.jpg,car|handbag|person|stop sign|truck,car|stop sign,0,0.9259493670886076
COCO_val2014_000000349480.jpg,apple|banana|bottle|bowl|cake|cup|handbag|orange|potted plant|teddy bear,teddy bear,0,0.7863924050632911
COCO_val2014_000000511599.jpg,backpack|boat|handbag|person|suitcase|truck,backpack|boat|car|handbag|person|umbrella,0,0.9018987341772152
COCO_val2014_000000277025.jpg,bowl|chair|cup|dining table|person|spoon|wine glass,chair|cup|dining table|person|wine glass,0,0.9503164556962025
COCO_val2014_000000216254.jpg,stop sign,stop sign,1,1.0
COCO_val2014_000000329498.jpg,person|surfboard,person|surfboard,1,1.0
COCO_val2014_000000044045.jpg,bicycle|car|person|stop sign,bicycle|car|person|stop sign,1,1.0
COCO_val2014_000000419828.jpg,bench|chair|person,person,0,0.9503164556962025
COCO_val2014_000000374974.jpg,elephant|person,elephant|person,1,1.0
COCO_val2014_000000193474.jpg,person|surfboard,person|surfboard,1,1.0
COCO_val2014_000000183416.jpg,kite,kite,1,1.0
COCO_val2014_000000117380.jpg,car|motorcycle,car|motorcycle,1,1.0
COCO_val2014_000000060431.jpg,baseball glove|person,baseball glove|person|sports ball,0,0.975
COCO_val2014_000000321886.jpg,bicycle|bus|car|motorcycle|person|traffic light,bicycle|bus|car|motorcycle|person|traffic light,1,1.0
COCO_val2014_000000559884.jpg,person|stop sign|truck,person|stop sign|truck,1,1.0
COCO_val2014_000000225387.jpg,person|surfboard,person|surfboard,1,1.0
COCO_val2014_000000343867.jpg,person|sports ball,person|sports ball|tennis racket,0,0.975
COCO_val2014_000000092020.jpg,dog|hair dryer|person,bottle|dog|person,0,0.9503164556962025
COCO_val2014_000000217593.jpg,baseball bat|baseball glove|chair|handbag|person,baseball glove|person,0,0.9259493670886076
COCO_val2014_000000377003.jpg,chair|couch|potted plant|remote,chair|couch|potted plant,0,0.975
COCO_val2014_000000417281.jpg,person|surfboard,person|surfboard,1,1.0
COCO_val2014_000000005064.jpg,baseball bat|baseball glove|bench|person,baseball bat|baseball glove|person,0,0.975
COCO_val2014_000000320218.jpg,cow,horse,0,0.9503164556962025
COCO_val2014_000000529950.jpg,stop sign,car|stop sign,0,0.975
COCO_val2014_000000263884.jpg,train,person|train,0,0.975
COCO_val2014_000000245431.jpg,bird,bird,1,1.0
COCO_val2014_000000072833.jpg,person|surfboard,person|surfboard,1,1.0
COCO_val2014_000000553985.jpg,person|tennis racket,person|tennis racket,1,1.0
COCO_val2014_000000174336.jpg,bottle|bowl|chair|cup|dining table|fork|knife|person|spoon,bottle|bowl|chair|cup|dining table|fork|knife|person,0,0.975
COCO_val2014_000000048668.jpg,bed|person,bed|person,1,1.0
COCO_val2014_000000235486.jpg,chair|dining table|fork|knife|person|pizza|potted plant|sandwich|wine glass,chair|cup|dining table|fork|person|pizza|potted plant,0,0.9018987341772152
COCO_val2014_000000327864.jpg,cat|cell phone|chair|cup|laptop|person,cat|chair|couch|cup|person,0,0.9259493670886076
COCO_val2014_000000116173.jpg,person|surfboard,person|surfboard,1,1.0
COCO_val2014_000000274549.jpg,backpack|person|skis,backpack|person|skis,1,1.0
COCO_val2014_000000144053.jpg,traffic light,traffic light,1,1.0
COCO_val2014_000000558235.jpg,train,train,1,1.0
COCO_val2014_000000129520.jpg,horse|person,horse|person,1,1.0
COCO_val2014_000000540782.jpg,bench,bench|person|potted plant,0,0.9503164556962025
COCO_val2014_000000227709.jpg,cat|keyboard|person,cat|keyboard|person,1,1.0
COCO_val2014_000000462006.jpg,bench|car|carrot|dining table|person|truck,carrot|chair|dining table|person,0,0.9018987341772152
COCO_val2014_000000311385.jpg,broccoli|carrot|dining table|spoon,bowl|broccoli|dining table|spoon,0,0.9503164556962025
COCO_val2014_000000187695.jpg,hot dog|person,hot dog|person,1,1.0
COCO_val2014_000000548506.jpg,apple|banana,apple|banana,1,1.0
COCO_val2014_000000188918.jpg,traffic light|train,traffic light|train,1,1.0
COCO_val2014_000000405213.jpg,traffic light,traffic light,1,1.0
COCO_val2014_000000412798.jpg,backpack|bench|chair|person|tennis racket,person|tennis racket,0,0.9259493670886076
COCO_val2014_000000214575.jpg,train,train,1,1.0
COCO_val2014_000000178690.jpg,backpack|book|chair|clock|couch|keyboard|tv,book|chair|couch,0,0.9018987341772152
COCO_val2014_000000286920.jpg,sheep,sheep,1,1.0
COCO_val2014_000000271076.jpg,clock|dining table,bench|clock,0,0.9503164556962025
COCO_val2014_000000432085.jpg,bottle|mouse|person|sandwich,bottle|person|sandwich,0,0.975
COCO_val2014_000000500257.jpg,backpack|person|suitcase|tv,person|suitcase|tv,0,0.975
COCO_val2014_000000554727.jpg,bicycle|person|skateboard,bicycle|person|skateboard,1,1.0
COCO_val2014_000000519815.jpg,bench|bottle|chair|sink,bottle|sink,0,0.9503164556962025
COCO_val2014_000000463699.jpg,car|cell phone|handbag|person,car|cell phone|handbag|person,1,1.0
COCO_val2014_000000338592.jpg,clock,clock,1,1.0
COCO_val2014_000000269344.jpg,dog|frisbee,dog|frisbee,1,1.0
